,RA,DEC,z,INSTR,DR12_NAME,NAME
QSO001,00h19m54.669s,-09d13m16.45s,2.125,GNIRS,SDSSJ001954.66-091316.5,QSO001
QSO006,03h21m58.404s,-00d11m02.68s,2.153,GNIRS,SDSSJ032158.40-001102.7,QSO006
QSO011,10h06m27.468s,+48d04m20.05s,2.296,GNIRS,SDSSJ100627.47+4804200,QSO011
QSO016,12h14m27.785s,-03d07m21.12s,2.126,GNIRS,SDSSJ121427.77-030721.0,QSO016
QSO021,20h59m54.511s,-00d19m17.40s,2.107,GNIRS,SDSSJ205954.51-001917.3,QSO021
QSO026,09h38m04.218s,+53d17m43.91s,2.068,GNIRS,SDSSJ093804.25+531743.6,QSO026
QSO031,12h28m17.620s,+02d31m49.00s,3.094,GNIRS,SDSSJ122817.62+023148.9,QSO031
QSO036,09h10m46.406s,+04d14m58.49s,2.044,NIRI,SDSSJ091046.40+041458.5,QSO036
QSO041,11h12m45.707s,+66d12m15.40s,2.2561,NIRI,SDSSJ111245.70+661215.4,QSO041
QSO046,14h02m08.103s,+47d01m11.11s,1.9169,NIRI,SDSSJ140208.10+470111.1,QSO046
QSO051,16h21m45.419s,+35d08m07.23s,2.0314,NIRI,SDSSJ162145.41+350807.1,QSO051
QSO056,22h02m48.307s,+12d36m56.28s,2.518,NIRI,SDSSJ220248.30+123656.2,QSO056
QSO061,11h12m42.689s,+66d11m52.85s,2.2292,NIRI,SDSSJ111242.68+661152.5,QSO061
QSO066,08h14m20.380s,+32d50m16.10s,2.2129,NIRI,SDSSJ081420.37+325016.1,QSO066
QSO071,13h30m39.102s,+62d33m54.90s,3.4502,NIRI,SDSSJ133039.08+623354.7,QSO071
QSO076,02h39m46.447s,-01d06m44.15s,3.129,NIRI,SDSSJ023946.44-010644.1,QSO076
QSO081,16h27m37.910s,+22d15m09.31s,3.709,NIRI,SDSSJ162737.90+221509.2,QSO081
QSO086,12h25m16.799s,+04d25m37.80s,2.391,ISAAC,SDSSJ122516.80+042537.7,QSO086
QSO091,13h57m19.083s,+01d17m05.44s,2.489,ISAAC,SDSSJ135719.08+011705.4,QSO091
QSO096,21h34m38.965s,+00d09m53.75s,2.406,ISAAC,SDSSJ213438.96+000953.7,QSO096
QSO101,12h19m19.977s,+20d49m12.50s,3.243,ISAAC,SDSSJ121919.97+204912.4,QSO101
QSO106,21h57m43.630s,+23d30m37.30s,3.143,ISAAC,SDSSJ215743.62+233037.3,QSO106
QSO111,01h44m19.92s,+08d38m11.0s,2.3928,TRIPLE,SDSSJ014419.92+083811.0,QSO111
QSO116,03h50m53.30s,-00d31m14.7s,2.0019,TRIPLE,SDSSJ035053.29-003114.7,QSO116
QSO121,08h17m01.91s,+38d59m36.3s,2.2468,TRIPLE,SDSSJ081701.90+385936.3,QSO121
QSO126,09h33m37.28s,+28d45m32.4s,3.4268,TRIPLE,SDSSJ093337.28+284532.3,QSO126
QSO131,10h27m34.16s,+18d34m28.0s,2.8581,TRIPLE,None,QSO131
QSO136,11h26m17.40s,-01d26m32.6s,3.6221,TRIPLE,SDSSJ112617.40-012632.6,QSO136
QSO141,12h13m03.02s,+17d14m23.3s,2.5788,TRIPLE,SDSSJ121303.01+171423.2,QSO141
QSO146,13h05m24.90s,+03d11m35.2s,2.2007,TRIPLE,SDSSJ130524.90+031135.1,QSO146
QSO151,14h26m56.19s,+60d25m50.9s,3.1999,TRIPLE,SDSSJ142656.18+602550.8,QSO151
QSO156,15h52m33.88s,+49d10m08.3s,2.051,TRIPLE,SDSSJ155233.88+491008.2,QSO156
QSO161,16h23m23.67s,+33d12m32.6s,2.4189,TRIPLE,SDSSJ162323.67+331232.5,QSO161
